mode,bytes,iterations,stage,mean_us,p50_us,p95_us
direct,128,1000,validate,9.000,8.219,14.439
direct,128,1000,authorize,0.089,0.078,0.161
direct,128,1000,execute,5.582,5.131,8.358
direct,128,1000,filter,0.026,0.023,0.040
direct,128,1000,total,14.697,13.461,23.120
direct,1024,1000,validate,10.035,8.644,17.980
direct,1024,1000,authorize,0.098,0.078,0.208
direct,1024,1000,execute,7.608,6.592,14.147
direct,1024,1000,filter,0.028,0.024,0.049
direct,1024,1000,total,17.768,15.330,32.386
direct,16384,1000,validate,10.942,8.479,12.029
direct,16384,1000,authorize,0.090,0.078,0.124
direct,16384,1000,execute,25.581,24.824,28.856
direct,16384,1000,filter,0.025,0.024,0.032
direct,16384,1000,total,36.639,33.464,41.286
approval,128,1000,validate,8.542,8.322,10.651
approval,128,1000,authorize,0.078,0.074,0.107
approval,128,1000,execute,5.285,5.076,6.515
approval,128,1000,filter,0.023,0.022,0.030
approval,128,1000,total,13.928,13.516,17.244
approval,1024,1000,validate,8.674,8.523,8.934
approval,1024,1000,authorize,0.089,0.083,0.101
approval,1024,1000,execute,6.573,6.458,6.792
approval,1024,1000,filter,0.024,0.023,0.027
approval,1024,1000,total,15.359,15.107,16.187
approval,16384,1000,validate,9.523,8.308,9.867
approval,16384,1000,authorize,0.082,0.075,0.092
approval,16384,1000,execute,24.773,24.341,26.317
approval,16384,1000,filter,0.030,0.024,0.029
approval,16384,1000,total,34.408,32.738,36.850
otp,128,1000,validate,8.363,8.009,11.024
otp,128,1000,authorize,0.080,0.070,0.112
otp,128,1000,execute,5.108,4.942,6.802
otp,128,1000,filter,0.023,0.022,0.030
otp,128,1000,total,13.574,13.049,17.924
otp,1024,1000,validate,8.891,8.404,11.768
otp,1024,1000,authorize,0.080,0.077,0.096
otp,1024,1000,execute,6.622,6.293,8.448
otp,1024,1000,filter,0.023,0.023,0.027
otp,1024,1000,total,15.617,14.798,19.242
otp,16384,1000,validate,10.131,8.228,12.139
otp,16384,1000,authorize,0.085,0.078,0.120
otp,16384,1000,execute,24.993,24.283,27.856
otp,16384,1000,filter,0.026,0.024,0.033
otp,16384,1000,total,35.235,32.636,40.150
anon,128,1000,validate,8.514,8.181,10.858
anon,128,1000,authorize,0.087,0.086,0.104
anon,128,1000,execute,5.171,5.004,6.039
anon,128,1000,filter,1.968,1.910,2.073
anon,128,1000,total,15.740,15.185,19.079
anon,1024,1000,validate,8.821,8.500,10.906
anon,1024,1000,authorize,0.083,0.081,0.100
anon,1024,1000,execute,6.478,6.359,6.661
anon,1024,1000,filter,10.693,10.559,10.971
anon,1024,1000,total,26.075,25.515,29.785
anon,16384,1000,validate,11.224,8.826,16.573
anon,16384,1000,authorize,0.097,0.085,0.171
anon,16384,1000,execute,25.913,24.928,33.114
anon,16384,1000,filter,152.551,148.096,190.680
anon,16384,1000,total,189.785,182.327,262.185
