protocol,session,mode,payload,bytes,n,warmup_n,order_index,mean_us,p50_us,p95_us,p99_us,ci95_lo_us,ci95_hi_us
E1_corrected,s01,direct,1KiB,1024,1000,200,0,13.435,13.338,13.704,16.259,13.315,13.354
E1_corrected,s01,direct,128B,128,1000,200,1,11.776,11.671,12.001,14.206,11.661,11.681
E1_corrected,s01,direct,16KiB,16384,1000,200,2,36.830,29.137,31.994,40.825,29.046,29.292
E1_corrected,s01,approval,1KiB,1024,1000,200,3,13.160,13.103,13.399,15.314,13.091,13.111
E1_corrected,s01,anon,1KiB,1024,1000,200,4,22.626,22.421,24.770,26.441,22.403,22.439
E1_corrected,s01,approval,128B,128,1000,200,5,11.978,11.954,12.220,13.806,11.948,11.961
E1_corrected,s01,otp,128B,128,1000,200,6,11.949,11.916,12.153,13.668,11.907,11.925
E1_corrected,s01,approval,16KiB,16384,1000,200,7,35.738,29.345,31.476,37.605,29.317,29.370
E1_corrected,s01,otp,16KiB,16384,1000,200,8,30.139,29.357,31.195,36.880,29.315,29.392
E1_corrected,s01,otp,1KiB,1024,1000,200,9,13.144,13.052,13.512,15.758,13.042,13.060
E1_corrected,s01,anon,16KiB,16384,1000,200,10,163.684,161.537,170.393,220.980,161.293,161.813
E1_corrected,s01,anon,128B,128,1000,200,11,13.722,13.569,14.036,16.266,13.562,13.574
E1_corrected,s02,anon,128B,128,1000,200,0,13.959,13.800,14.908,16.867,13.777,13.818
E1_corrected,s02,otp,16KiB,16384,1000,200,1,30.705,29.140,31.262,37.126,29.129,29.152
E1_corrected,s02,approval,16KiB,16384,1000,200,2,36.473,29.220,32.858,60.280,29.199,29.244
E1_corrected,s02,direct,128B,128,1000,200,3,12.008,11.991,12.236,13.949,11.981,11.998
E1_corrected,s02,approval,1KiB,1024,1000,200,4,13.210,12.985,13.686,16.386,12.974,12.996
E1_corrected,s02,approval,128B,128,1000,200,5,11.940,11.850,12.355,13.783,11.843,11.854
E1_corrected,s02,otp,1KiB,1024,1000,200,6,13.291,13.077,13.713,18.983,13.045,13.118
E1_corrected,s02,direct,16KiB,16384,1000,200,7,36.014,29.073,32.016,38.537,29.048,29.106
E1_corrected,s02,anon,1KiB,1024,1000,200,8,22.544,22.368,23.906,27.616,22.301,22.396
E1_corrected,s02,anon,16KiB,16384,1000,200,9,160.829,160.110,167.897,179.192,159.873,160.349
E1_corrected,s02,direct,1KiB,1024,1000,200,10,13.176,13.070,13.461,17.151,13.062,13.078
E1_corrected,s02,otp,128B,128,1000,200,11,11.882,11.791,12.095,13.723,11.784,11.797
E1_corrected,s03,anon,1KiB,1024,1000,200,0,23.376,23.091,25.696,31.654,23.068,23.108
E1_corrected,s03,approval,16KiB,16384,1000,200,1,36.928,29.105,32.155,48.000,29.075,29.133
E1_corrected,s03,direct,1KiB,1024,1000,200,2,13.046,12.945,13.379,16.405,12.910,12.968
E1_corrected,s03,anon,128B,128,1000,200,3,13.957,13.966,14.469,16.841,13.953,13.975
E1_corrected,s03,direct,128B,128,1000,200,4,12.202,11.934,13.154,19.898,11.924,11.944
E1_corrected,s03,direct,16KiB,16384,1000,200,5,36.066,28.974,32.869,59.921,28.947,29.007
E1_corrected,s03,otp,16KiB,16384,1000,200,6,30.308,28.952,32.268,49.511,28.927,28.996
E1_corrected,s03,otp,1KiB,1024,1000,200,7,13.228,13.027,14.625,19.161,13.014,13.036
E1_corrected,s03,approval,1KiB,1024,1000,200,8,12.981,12.897,13.242,15.108,12.843,12.959
E1_corrected,s03,anon,16KiB,16384,1000,200,9,161.300,160.422,168.248,180.604,160.226,160.598
E1_corrected,s03,otp,128B,128,1000,200,10,12.017,11.972,12.189,13.954,11.964,11.978
E1_corrected,s03,approval,128B,128,1000,200,11,11.911,11.828,12.173,13.712,11.797,11.884
E1_corrected,s04,approval,1KiB,1024,1000,200,0,13.806,13.138,19.589,24.146,13.114,13.161
E1_corrected,s04,otp,128B,128,1000,200,1,11.908,11.832,12.041,13.782,11.827,11.837
E1_corrected,s04,anon,128B,128,1000,200,2,13.910,13.497,15.211,24.233,13.488,13.506
E1_corrected,s04,anon,16KiB,16384,1000,200,3,160.965,157.857,168.474,229.437,157.748,157.984
E1_corrected,s04,otp,16KiB,16384,1000,200,4,29.911,29.067,32.068,42.733,29.054,29.081
E1_corrected,s04,approval,128B,128,1000,200,5,11.903,11.809,12.016,13.828,11.804,11.814
E1_corrected,s04,otp,1KiB,1024,1000,200,6,13.025,12.895,13.223,16.193,12.888,12.903
E1_corrected,s04,approval,16KiB,16384,1000,200,7,35.984,29.041,32.232,56.197,29.024,29.061
E1_corrected,s04,direct,1KiB,1024,1000,200,8,13.168,12.903,14.193,19.978,12.894,12.910
E1_corrected,s04,anon,1KiB,1024,1000,200,9,22.274,22.062,22.973,27.095,22.047,22.073
E1_corrected,s04,direct,16KiB,16384,1000,200,10,35.621,29.024,31.883,41.147,29.010,29.036
E1_corrected,s04,direct,128B,128,1000,200,11,11.873,11.743,11.937,13.973,11.739,11.749
E1_corrected,s05,approval,16KiB,16384,1000,200,0,37.321,29.103,33.099,90.215,29.088,29.116
E1_corrected,s05,direct,16KiB,16384,1000,200,1,36.119,29.107,32.816,61.730,29.093,29.123
E1_corrected,s05,otp,1KiB,1024,1000,200,2,13.154,12.885,13.263,19.655,12.879,12.891
E1_corrected,s05,otp,16KiB,16384,1000,200,3,30.171,29.007,31.899,41.322,28.987,29.019
E1_corrected,s05,anon,16KiB,16384,1000,200,4,161.566,158.918,171.497,227.897,158.725,159.158
E1_corrected,s05,approval,1KiB,1024,1000,200,5,13.110,12.869,13.228,19.487,12.860,12.875
E1_corrected,s05,otp,128B,128,1000,200,6,11.845,11.721,12.020,15.406,11.714,11.730
E1_corrected,s05,direct,128B,128,1000,200,7,11.898,11.792,12.016,13.442,11.788,11.797
E1_corrected,s05,anon,1KiB,1024,1000,200,8,22.417,22.162,22.953,25.480,22.146,22.176
E1_corrected,s05,direct,1KiB,1024,1000,200,9,13.887,13.009,18.395,28.890,12.978,13.045
E1_corrected,s05,approval,128B,128,1000,200,10,12.055,11.712,12.854,20.188,11.706,11.720
E1_corrected,s05,anon,128B,128,1000,200,11,13.456,13.363,13.665,15.508,13.357,13.369
E1_corrected,s06,approval,16KiB,16384,1000,200,0,37.346,29.597,33.186,44.212,29.547,29.650
E1_corrected,s06,otp,16KiB,16384,1000,200,1,29.880,28.421,32.710,44.438,28.409,28.433
E1_corrected,s06,approval,1KiB,1024,1000,200,2,13.641,12.813,17.524,29.685,12.793,12.845
E1_corrected,s06,direct,128B,128,1000,200,3,12.184,11.731,13.400,20.484,11.718,11.741
E1_corrected,s06,anon,1KiB,1024,1000,200,4,21.801,21.532,23.214,26.751,21.511,21.545
E1_corrected,s06,anon,128B,128,1000,200,5,13.119,13.033,13.385,14.832,13.027,13.039
E1_corrected,s06,approval,128B,128,1000,200,6,11.451,11.394,11.674,13.052,11.390,11.398
E1_corrected,s06,otp,1KiB,1024,1000,200,7,12.699,12.560,12.953,15.973,12.554,12.567
E1_corrected,s06,direct,1KiB,1024,1000,200,8,12.790,12.520,13.832,19.601,12.513,12.533
E1_corrected,s06,direct,16KiB,16384,1000,200,9,35.326,28.360,32.043,57.787,28.319,28.410
E1_corrected,s06,anon,16KiB,16384,1000,200,10,156.630,154.981,163.365,192.942,154.816,155.209
E1_corrected,s06,otp,128B,128,1000,200,11,11.510,11.423,11.710,13.192,11.418,11.429
E1_corrected,s07,direct,128B,128,1000,200,0,12.374,12.278,12.974,17.090,12.252,12.300
E1_corrected,s07,approval,16KiB,16384,1000,200,1,37.495,29.413,33.121,55.580,29.336,29.494
E1_corrected,s07,otp,1KiB,1024,1000,200,2,13.422,13.240,13.781,19.115,13.233,13.250
E1_corrected,s07,otp,16KiB,16384,1000,200,3,31.017,29.678,34.678,47.433,29.650,29.698
E1_corrected,s07,anon,128B,128,1000,200,4,13.776,13.741,13.935,15.731,13.735,13.746
E1_corrected,s07,direct,1KiB,1024,1000,200,5,14.831,13.227,21.537,23.566,13.214,13.238
E1_corrected,s07,otp,128B,128,1000,200,6,12.232,12.096,12.346,15.164,12.087,12.104
E1_corrected,s07,direct,16KiB,16384,1000,200,7,37.876,29.774,42.483,52.435,29.754,29.798
E1_corrected,s07,approval,1KiB,1024,1000,200,8,13.250,13.162,13.411,15.955,13.157,13.170
E1_corrected,s07,anon,1KiB,1024,1000,200,9,22.605,22.551,23.101,25.033,22.540,22.568
E1_corrected,s07,anon,16KiB,16384,1000,200,10,160.893,160.230,164.486,175.955,160.118,160.345
E1_corrected,s07,approval,128B,128,1000,200,11,12.037,11.999,12.168,14.081,11.992,12.005
E1_corrected,s08,anon,16KiB,16384,1000,200,0,162.074,159.660,170.160,192.472,159.491,159.871
E1_corrected,s08,otp,1KiB,1024,1000,200,1,13.440,13.032,14.115,20.429,13.022,13.042
E1_corrected,s08,approval,128B,128,1000,200,2,11.911,11.825,12.080,13.921,11.819,11.831
E1_corrected,s08,approval,16KiB,16384,1000,200,3,35.900,29.140,33.504,41.760,29.130,29.151
E1_corrected,s08,direct,1KiB,1024,1000,200,4,13.127,12.947,13.303,17.823,12.941,12.954
E1_corrected,s08,otp,128B,128,1000,200,5,12.079,11.867,12.397,19.472,11.859,11.873
E1_corrected,s08,otp,16KiB,16384,1000,200,6,30.054,29.152,32.853,45.431,29.137,29.168
E1_corrected,s08,direct,16KiB,16384,1000,200,7,36.412,29.171,35.172,55.450,29.156,29.183
E1_corrected,s08,anon,128B,128,1000,200,8,13.798,13.515,14.954,19.939,13.509,13.524
E1_corrected,s08,anon,1KiB,1024,1000,200,9,22.568,22.305,23.508,28.883,22.287,22.317
E1_corrected,s08,approval,1KiB,1024,1000,200,10,13.096,12.949,13.264,16.647,12.942,12.956
E1_corrected,s08,direct,128B,128,1000,200,11,12.019,11.897,12.388,15.193,11.890,11.904
E1_corrected,s09,anon,16KiB,16384,1000,200,0,159.560,156.985,162.620,221.349,156.838,157.160
E1_corrected,s09,approval,1KiB,1024,1000,200,1,13.140,12.876,13.275,19.647,12.869,12.882
E1_corrected,s09,otp,16KiB,16384,1000,200,2,30.829,29.100,39.838,48.271,29.088,29.114
E1_corrected,s09,anon,1KiB,1024,1000,200,3,22.482,22.215,23.039,27.918,22.203,22.235
E1_corrected,s09,approval,16KiB,16384,1000,200,4,35.963,29.037,32.013,61.229,29.020,29.056
E1_corrected,s09,direct,1KiB,1024,1000,200,5,12.971,12.787,13.362,16.200,12.781,12.794
E1_corrected,s09,otp,128B,128,1000,200,6,11.993,11.778,12.271,16.295,11.772,11.784
E1_corrected,s09,otp,1KiB,1024,1000,200,7,13.056,12.883,13.183,15.930,12.875,12.889
E1_corrected,s09,direct,128B,128,1000,200,8,11.962,11.814,12.058,14.334,11.809,11.819
E1_corrected,s09,approval,128B,128,1000,200,9,11.988,11.847,12.075,14.156,11.841,11.853
E1_corrected,s09,direct,16KiB,16384,1000,200,10,36.377,29.013,31.704,57.097,29.003,29.029
E1_corrected,s09,anon,128B,128,1000,200,11,13.821,13.665,13.977,15.958,13.659,13.675
E1_corrected,s10,anon,128B,128,1000,200,0,13.849,13.557,14.652,19.167,13.543,13.567
E1_corrected,s10,direct,16KiB,16384,1000,200,1,37.082,29.112,31.980,45.235,29.103,29.122
E1_corrected,s10,otp,16KiB,16384,1000,200,2,30.656,29.188,33.475,43.655,29.165,29.211
E1_corrected,s10,approval,1KiB,1024,1000,200,3,13.150,12.967,13.555,15.900,12.957,12.976
E1_corrected,s10,direct,1KiB,1024,1000,200,4,13.086,12.921,13.279,17.909,12.915,12.931
E1_corrected,s10,approval,16KiB,16384,1000,200,5,35.868,29.083,32.479,44.994,29.073,29.103
E1_corrected,s10,approval,128B,128,1000,200,6,11.968,11.867,12.066,14.260,11.862,11.872
E1_corrected,s10,anon,1KiB,1024,1000,200,7,22.615,22.254,24.059,31.687,22.231,22.272
E1_corrected,s10,otp,1KiB,1024,1000,200,8,13.160,12.929,13.723,17.620,12.921,12.936
E1_corrected,s10,anon,16KiB,16384,1000,200,9,160.787,158.377,169.126,221.141,158.175,158.549
E1_corrected,s10,direct,128B,128,1000,200,10,11.958,11.833,12.207,14.383,11.828,11.840
E1_corrected,s10,otp,128B,128,1000,200,11,12.099,11.823,12.778,17.962,11.817,11.829
