group,payload,contrast,stat,k_sessions,mean_diff_us,ci95_lo_us,ci95_hi_us,wrong_sign_frac,ci_excludes_zero
E1_corrected,128B,direct_minus_approval,p50_us,10,0.06,-0.046,0.16,0.6,False
E1_corrected,128B,direct_minus_approval,mean_us,10,0.111,-0.036,0.292,0.5,False
E1_corrected,128B,direct_minus_otp,p50_us,10,0.046,-0.046,0.136,0.7,False
E1_corrected,128B,direct_minus_otp,mean_us,10,0.074,-0.048,0.235,0.5,False
E1_corrected,1KiB,direct_minus_approval,p50_us,10,-0.009,-0.106,0.082,0.5,False
E1_corrected,1KiB,direct_minus_approval,mean_us,10,0.097,-0.278,0.523,0.5,False
E1_corrected,1KiB,direct_minus_otp,p50_us,10,0.009,-0.05,0.084,0.3,False
E1_corrected,1KiB,direct_minus_otp,mean_us,10,0.19,-0.077,0.531,0.5,False
E1_corrected,16KiB,direct_minus_approval,p50_us,10,-0.134,-0.407,0.063,0.4,False
E1_corrected,16KiB,direct_minus_approval,mean_us,10,-0.129,-0.774,0.47,0.5,False
E1_corrected,16KiB,direct_minus_otp,p50_us,10,-0.032,-0.09,0.023,0.4,False
E1_corrected,16KiB,direct_minus_otp,mean_us,10,6.005,5.69,6.331,1.0,True
