id,descricao,valor,ic95,unidade,status,onde_usar,nota
E1.diff.128.APP,DIRECT-APPROVAL 128 B (mediana),"+0,060","[-0,046; 0,160]",us,ARTEFATO,Tab.5-nova,nao exclui zero
E1.diff.128.OTP,DIRECT-OTP 128 B (mediana),"+0,046","[-0,046; 0,136]",us,ARTEFATO,Tab.5-nova,nao exclui zero
E1.diff.1k.APP,DIRECT-APPROVAL 1 KiB (mediana),"-0,009","[-0,106; 0,082]",us,ARTEFATO,Tab.5-nova,nao exclui zero
E1.diff.1k.OTP,DIRECT-OTP 1 KiB (mediana),"+0,009","[-0,050; 0,084]",us,ARTEFATO,Tab.5-nova,nao exclui zero
E1.diff.16k.APP,DIRECT-APPROVAL 16 KiB (mediana),"-0,134","[-0,407; 0,063]",us,ARTEFATO,Tab.5-nova,nao exclui zero
E1.diff.16k.OTP,DIRECT-OTP 16 KiB (mediana),"-0,032","[-0,090; 0,023]",us,ARTEFATO,Tab.5-nova,nao exclui zero
E1.P2.mean.16k.OTP,DIRECT-OTP 16 KiB (MEDIA),"+6,005","[5,690; 6,331]",us,ARTEFATO,4.2 texto,exclui zero: inversao FALSA pela media
E1.P2.p99.direct.16k,p99 DIRECT 16 KiB entre sessoes,"38,5-61,7",-,us,ARTEFATO,4.2 texto,mediana ~29 us; cauda direita consistente
E2.wrongsign.A,braco A ordem fixa/sem warmup,"70,0",-,%,ARTEFATO,Tab.ablacao,fracao de sinal invertido (mediana)
E2.wrongsign.B,braco B ordem fixa/warmup,"73,3",-,%,ARTEFATO,Tab.ablacao,
E2.wrongsign.C,braco C aleatoria/sem warmup,"53,3",-,%,ARTEFATO,Tab.ablacao,
E2.wrongsign.D,braco D aleatoria/warmup,"56,7",-,%,ARTEFATO,Tab.ablacao,protocolo corrigido
E2.armA.median,braco A contrastes que excluem zero (mediana),2/6,-,-,ARTEFATO,4.2 texto,ambos em 128 B
E2.armA.mean,braco A contrastes que excluem zero (media),4/6,-,-,ARTEFATO,4.2 texto,nao reproduz 6/6
E2.prov.diff,reescrita do harness apos latency.csv,495,-,linhas,ARTEFATO,4.2 + limitacoes,"418 ins / 81 rem, commit 2fb252b"
E2.prov.meta,run-metadata.json da Tabela 5 publicada,AUSENTE,-,-,ARTEFATO,4.2 + limitacoes,sem proveniencia da execucao original
E3.scope20.128,"enforce_scopes 20 escopos, 128 B","+2,106","[1,656; 2,511]",us,ARTEFATO,Tab.escopos,exclui zero
E3.scope20.1k,"enforce_scopes 20 escopos, 1 KiB","+2,102","[1,842; 2,346]",us,ARTEFATO,Tab.escopos,exclui zero
E3.scope20.16k,"enforce_scopes 20 escopos, 16 KiB","+2,231","[1,601; 2,615]",us,ARTEFATO,Tab.escopos,exclui zero
E3.scope1.128,"enforce_scopes 1 escopo, 128 B","-0,454","[-0,855; -0,130]",us,ARTEFATO,Tab.escopos,negativo: artefato de ordem fixa dos bracos
E4a.recall,"recall canonico, 7 categorias documentadas",100,-,%,ARTEFATO,5.2.2,200/200 cada
E4a.fp,falso-positivo em texto neutro,0,-,%,ARTEFATO,5.2.2,0/500 cada
E4b.robust,CPF/CNPJ/cartao sem pontuacao,100,-,%,ARTEFATO,5.2.2,collect_grouped_digits
E4b.strict,telefone/SSN/e-mail nao canonicos,0,-,%,ARTEFATO,5.2.2,sintaxe fixa; +55 internacional = 100%
E4c.slope.d1,inclinacao do filtro em densidade=1,"7,395",-,ns/B,ARTEFATO,5.2.2,pior caso
E4c.slope.d0,inclinacao do filtro em densidade=0,"2,683",-,ns/B,ARTEFATO,5.2.2,documento sem PII
E4c.share,densidade como fracao da inclinacao marginal,"63,7",-,%,ARTEFATO,5.2.2,"R2=0,99979"
E4c.xcheck,concordancia do ajuste d=1 com micro.csv publicado,"97,0",-,%,AUDITORIA,5.2.2,"7,395 vs 7,626 ns/B"
E4c.pct,custo sem PII como fracao do valor publicado,"36,6",-,%,AUDITORIA,5.2.2,"2,683/7,395"
E5.cov.old,cobertura da bateria original,5/20,-,-,ARTEFATO,5.x + resumo,25% - CORRIGE o 7/20 anterior
E5.cov.new,cobertura apos extensao,17/20,-,-,ARTEFATO,5.x + resumo,85%
E5.match,vereditos que batem com pre-especificacao,11/12,-,-,ARTEFATO,Tab.sondas,C4 e o mismatch
E5.audit,cadeia HMAC verificada,ok,-,-,ARTEFATO,5.x,"12 entradas, verify_chain"
T5.signtest,teste de sinais na Tabela 5 PUBLICADA,"0,016",-,p,PUBLICADO,4.2 nota metodologica,"6/6, exato unilateral"
T5.cantelli,limite superior de |z| das 6 diferencas,"11,7-58,5",-,EP,PUBLICADO,4.2 nota metodologica,Cantelli sobre p95-media
SUP.dens,"densidade = 7,4% da inclinacao","7,4",-,%,SUPERSEDIDO,NAO USAR,"errado por 8,6x; usar E4c.share"
SUP.robust,"robustez de formato uniforme 0,375","0,375",-,-,SUPERSEDIDO,NAO USAR,usar E4b por categoria
SUP.pos,efeito de posicao explica ~9% da inversao,9,-,%,SUPERSEDIDO,NAO USAR,estimador nao identificavel em ordem fixa
SUP.cov,cobertura 7/20 (35%),7/20,-,-,SUPERSEDIDO,NAO USAR,contagem real e 5/20
