protocol,session,mode,payload,bytes,n,warmup_n,order_index,mean_us,p50_us,p95_us,p99_us,ci95_lo_us,ci95_hi_us
E2_armA_fixed_none,s1,direct,128B,128,1000,0,0,13.123,12.464,18.763,21.969,12.454,12.471
E2_armA_fixed_none,s1,direct,1KiB,1024,1000,0,1,13.434,13.047,14.956,21.716,13.035,13.058
E2_armA_fixed_none,s1,direct,16KiB,16384,1000,0,2,31.957,29.420,32.189,52.623,29.319,29.536
E2_armA_fixed_none,s1,approval,128B,128,1000,0,3,12.094,12.027,12.286,14.069,11.998,12.048
E2_armA_fixed_none,s1,approval,1KiB,1024,1000,0,4,13.380,13.263,13.603,16.833,13.253,13.272
E2_armA_fixed_none,s1,approval,16KiB,16384,1000,0,5,30.766,29.627,32.834,56.081,29.603,29.648
E2_armA_fixed_none,s1,otp,128B,128,1000,0,6,12.171,12.131,12.340,14.150,12.122,12.136
E2_armA_fixed_none,s1,otp,1KiB,1024,1000,0,7,13.325,13.216,13.552,16.667,13.207,13.227
E2_armA_fixed_none,s1,otp,16KiB,16384,1000,0,8,31.473,29.616,33.852,63.052,29.585,29.640
E2_armA_fixed_none,s1,anon,128B,128,1000,0,9,13.853,13.793,14.095,15.700,13.779,13.804
E2_armA_fixed_none,s1,anon,1KiB,1024,1000,0,10,23.125,23.013,23.542,25.607,23.002,23.024
E2_armA_fixed_none,s1,anon,16KiB,16384,1000,0,11,163.996,161.436,169.070,223.250,161.262,161.652
E2_armA_fixed_none,s2,direct,128B,128,1000,0,0,12.376,12.025,13.452,19.568,12.007,12.055
E2_armA_fixed_none,s2,direct,1KiB,1024,1000,0,1,12.689,12.523,12.938,15.862,12.517,12.533
E2_armA_fixed_none,s2,direct,16KiB,16384,1000,0,2,31.774,28.391,39.104,65.146,28.366,28.427
E2_armA_fixed_none,s2,approval,128B,128,1000,0,3,11.684,11.450,12.042,18.212,11.439,11.459
E2_armA_fixed_none,s2,approval,1KiB,1024,1000,0,4,12.708,12.543,12.982,15.318,12.537,12.550
E2_armA_fixed_none,s2,approval,16KiB,16384,1000,0,5,29.877,28.315,33.445,54.030,28.295,28.336
E2_armA_fixed_none,s2,otp,128B,128,1000,0,6,11.596,11.440,11.985,14.588,11.435,11.447
E2_armA_fixed_none,s2,otp,1KiB,1024,1000,0,7,12.660,12.512,12.964,15.847,12.503,12.521
E2_armA_fixed_none,s2,otp,16KiB,16384,1000,0,8,30.149,28.355,31.321,57.725,28.328,28.376
E2_armA_fixed_none,s2,anon,128B,128,1000,0,9,13.665,13.176,14.830,23.716,13.161,13.195
E2_armA_fixed_none,s2,anon,1KiB,1024,1000,0,10,22.763,22.105,25.072,38.352,22.069,22.123
E2_armA_fixed_none,s2,anon,16KiB,16384,1000,0,11,158.288,154.698,167.984,224.873,154.475,154.983
E2_armA_fixed_none,s3,direct,128B,128,1000,0,0,12.158,11.778,13.324,19.623,11.772,11.784
E2_armA_fixed_none,s3,direct,1KiB,1024,1000,0,1,13.123,12.678,14.516,22.085,12.648,12.716
E2_armA_fixed_none,s3,direct,16KiB,16384,1000,0,2,31.549,28.519,34.856,51.365,28.503,28.536
E2_armA_fixed_none,s3,approval,128B,128,1000,0,3,11.636,11.511,12.006,13.332,11.505,11.517
E2_armA_fixed_none,s3,approval,1KiB,1024,1000,0,4,12.900,12.663,14.113,16.595,12.651,12.673
E2_armA_fixed_none,s3,approval,16KiB,16384,1000,0,5,29.512,28.454,30.581,43.400,28.436,28.468
E2_armA_fixed_none,s3,otp,128B,128,1000,0,6,11.770,11.583,12.926,14.404,11.577,11.590
E2_armA_fixed_none,s3,otp,1KiB,1024,1000,0,7,13.272,12.953,14.271,16.659,12.942,12.970
E2_armA_fixed_none,s3,otp,16KiB,16384,1000,0,8,29.943,28.521,30.487,57.015,28.503,28.536
E2_armA_fixed_none,s3,anon,128B,128,1000,0,9,13.574,13.396,14.682,15.950,13.388,13.403
E2_armA_fixed_none,s3,anon,1KiB,1024,1000,0,10,22.222,22.002,23.611,25.539,21.985,22.020
E2_armA_fixed_none,s3,anon,16KiB,16384,1000,0,11,157.217,155.290,161.490,195.442,155.070,155.464
