group,payload,contrast,stat,k_sessions,mean_diff_us,ci95_lo_us,ci95_hi_us,wrong_sign_frac,ci_excludes_zero
E2_armA_fixed_none,128B,direct_minus_approval,p50_us,5,0.513,0.363,0.635,1.0,True
E2_armA_fixed_none,128B,direct_minus_approval,mean_us,5,0.762,0.584,0.941,1.0,True
E2_armA_fixed_none,128B,direct_minus_otp,p50_us,5,0.44,0.286,0.609,1.0,True
E2_armA_fixed_none,128B,direct_minus_otp,mean_us,5,0.692,0.474,0.911,1.0,True
E2_armA_fixed_none,1KiB,direct_minus_approval,p50_us,5,-0.019,-0.135,0.097,0.4,False
E2_armA_fixed_none,1KiB,direct_minus_approval,mean_us,5,0.1,-0.048,0.253,0.6,False
E2_armA_fixed_none,1KiB,direct_minus_otp,p50_us,5,-0.034,-0.192,0.109,0.6,False
E2_armA_fixed_none,1KiB,direct_minus_otp,mean_us,5,0.06,-0.055,0.157,0.8,False
E2_armA_fixed_none,16KiB,direct_minus_approval,p50_us,5,-0.099,-0.292,0.059,0.6,False
E2_armA_fixed_none,16KiB,direct_minus_approval,mean_us,5,1.428,1.041,1.84,1.0,True
E2_armA_fixed_none,16KiB,direct_minus_otp,p50_us,5,0.011,-0.096,0.094,0.6,False
E2_armA_fixed_none,16KiB,direct_minus_otp,mean_us,5,1.128,0.733,1.523,1.0,True
E2_armB_fixed_discarded,128B,direct_minus_approval,p50_us,5,0.219,-0.033,0.46,0.8,False
E2_armB_fixed_discarded,128B,direct_minus_approval,mean_us,5,0.431,-0.065,0.927,0.6,False
E2_armB_fixed_discarded,128B,direct_minus_otp,p50_us,5,-1.663,-5.754,0.503,0.8,False
E2_armB_fixed_discarded,128B,direct_minus_otp,mean_us,5,-1.01,-4.741,1.054,0.8,False
E2_armB_fixed_discarded,1KiB,direct_minus_approval,p50_us,5,0.105,0.006,0.218,0.8,True
E2_armB_fixed_discarded,1KiB,direct_minus_approval,mean_us,5,0.238,0.09,0.466,1.0,True
E2_armB_fixed_discarded,1KiB,direct_minus_otp,p50_us,5,0.08,-0.04,0.221,0.4,False
E2_armB_fixed_discarded,1KiB,direct_minus_otp,mean_us,5,0.096,-0.143,0.395,0.6,False
E2_armB_fixed_discarded,16KiB,direct_minus_approval,p50_us,5,0.328,-0.083,1.063,0.6,False
E2_armB_fixed_discarded,16KiB,direct_minus_approval,mean_us,5,2.196,0.501,5.056,1.0,True
E2_armB_fixed_discarded,16KiB,direct_minus_otp,p50_us,5,0.421,0.039,1.168,1.0,True
E2_armB_fixed_discarded,16KiB,direct_minus_otp,mean_us,5,8.373,6.459,11.91,1.0,True
E2_armC_randomized_none,128B,direct_minus_approval,p50_us,5,0.02,-0.042,0.071,0.8,False
E2_armC_randomized_none,128B,direct_minus_approval,mean_us,5,-0.008,-0.101,0.099,0.4,False
E2_armC_randomized_none,128B,direct_minus_otp,p50_us,5,-0.025,-0.477,0.391,0.6,False
E2_armC_randomized_none,128B,direct_minus_otp,mean_us,5,0.008,-0.391,0.409,0.6,False
E2_armC_randomized_none,1KiB,direct_minus_approval,p50_us,5,0.042,-0.038,0.129,0.6,False
E2_armC_randomized_none,1KiB,direct_minus_approval,mean_us,5,0.019,-0.266,0.233,0.6,False
E2_armC_randomized_none,1KiB,direct_minus_otp,p50_us,5,-0.026,-0.111,0.07,0.4,False
E2_armC_randomized_none,1KiB,direct_minus_otp,mean_us,5,-0.062,-0.191,0.067,0.4,False
E2_armC_randomized_none,16KiB,direct_minus_approval,p50_us,5,0.384,-0.065,0.98,0.6,False
E2_armC_randomized_none,16KiB,direct_minus_approval,mean_us,5,-0.783,-3.552,0.974,0.6,False
E2_armC_randomized_none,16KiB,direct_minus_otp,p50_us,5,-0.293,-0.825,0.002,0.2,False
E2_armC_randomized_none,16KiB,direct_minus_otp,mean_us,5,-2.248,-5.502,-0.021,0.2,True
E2_armD_randomized_discarded,128B,direct_minus_approval,p50_us,5,-0.014,-0.167,0.149,0.4,False
E2_armD_randomized_discarded,128B,direct_minus_approval,mean_us,5,0.001,-0.14,0.141,0.4,False
E2_armD_randomized_discarded,128B,direct_minus_otp,p50_us,5,-0.04,-0.15,0.052,0.4,False
E2_armD_randomized_discarded,128B,direct_minus_otp,mean_us,5,-0.011,-0.157,0.086,0.8,False
E2_armD_randomized_discarded,1KiB,direct_minus_approval,p50_us,5,-0.014,-0.171,0.158,0.4,False
E2_armD_randomized_discarded,1KiB,direct_minus_approval,mean_us,5,-0.011,-0.282,0.264,0.4,False
E2_armD_randomized_discarded,1KiB,direct_minus_otp,p50_us,5,0.028,-0.02,0.077,0.6,False
E2_armD_randomized_discarded,1KiB,direct_minus_otp,mean_us,5,0.034,-0.085,0.158,0.4,False
E2_armD_randomized_discarded,16KiB,direct_minus_approval,p50_us,5,0.221,0.009,0.539,0.8,True
E2_armD_randomized_discarded,16KiB,direct_minus_approval,mean_us,5,0.478,0.076,1.231,1.0,True
E2_armD_randomized_discarded,16KiB,direct_minus_otp,p50_us,5,0.365,-0.027,0.876,0.8,False
E2_armD_randomized_discarded,16KiB,direct_minus_otp,mean_us,5,6.044,5.159,7.22,1.0,True
