category,variant,n,detected,detect_rate
cpf,canonical,60,60,1.0000
cpf,bare,60,60,1.0000
cpf,spaced,60,60,1.0000
cpf,slashed,60,60,1.0000
cnpj,canonical,60,60,1.0000
cnpj,bare,60,60,1.0000
cnpj,spaced,60,60,1.0000
credit_card,canonical,60,60,1.0000
credit_card,spaced,60,60,1.0000
credit_card,bare,60,60,1.0000
credit_card,dotted,60,60,1.0000
email,canonical,60,60,1.0000
email,plus_tag,60,60,1.0000
email,spaced,60,0,0.0000
email,obfuscated,60,0,0.0000
ipv4,canonical,60,59,0.9833
ipv4,leading_zero,60,6,0.1000
ipv4,spaced,60,0,0.0000
ipv4,cidr_suffix,60,56,0.9333
phone,canonical,60,60,1.0000
phone,international_br,60,60,1.0000
phone,bare,60,0,0.0000
phone,dotted_no_symbol,60,0,0.0000
ssn,canonical,60,60,1.0000
ssn,bare,60,0,0.0000
ssn,spaced,60,0,0.0000
ssn,dotted,60,0,0.0000
