tool,covered_by_12_probes,covered_by_24_probes,family
vault.list,True,True,core
vault.read,True,True,core
vault.write,True,True,core
vault.delete,True,True,core
vault.create_container,True,True,core
vault.destroy,False,False,core
vault.info,False,True,core
vault.create_transit_key,False,True,crypto
vault.list_transit_keys,False,False,crypto
vault.encrypt,False,True,crypto
vault.decrypt,False,True,crypto
vault.create_signing_key,False,True,crypto
vault.list_signing_keys,False,False,crypto
vault.sign,False,True,crypto
vault.verify,False,True,crypto
vault.export_agents,False,True,agent_mgmt
vault.import_agents,False,True,agent_mgmt
vault.create_broker_secret,False,True,broker
vault.list_broker_secrets,False,True,broker
vault.broker_request,False,True,broker
