mode,bytes,iterations,stage,mean_us,p50_us,p95_us
anon,1024,1000,validate,7.778,7.647,8.228
anon,1024,1000,authorize,0.086,0.083,0.103
anon,1024,1000,execute,5.888,5.812,5.995
anon,1024,1000,filter,9.624,9.521,10.074
anon,1024,1000,total,23.376,23.091,25.696
approval,16384,1000,validate,8.069,7.383,8.715
approval,16384,1000,authorize,0.083,0.080,0.106
approval,16384,1000,execute,28.755,21.625,23.375
approval,16384,1000,filter,0.022,0.022,0.027
approval,16384,1000,total,36.928,29.105,32.155
direct,1024,1000,validate,7.353,7.277,7.508
direct,1024,1000,authorize,0.078,0.076,0.087
direct,1024,1000,execute,5.594,5.563,5.742
direct,1024,1000,filter,0.020,0.020,0.021
direct,1024,1000,total,13.046,12.945,13.379
anon,128,1000,validate,7.572,7.559,7.768
anon,128,1000,authorize,0.090,0.087,0.108
anon,128,1000,execute,4.610,4.615,4.701
anon,128,1000,filter,1.684,1.672,1.749
anon,128,1000,total,13.957,13.966,14.469
direct,128,1000,validate,7.485,7.310,7.878
direct,128,1000,authorize,0.080,0.078,0.085
direct,128,1000,execute,4.616,4.519,4.641
direct,128,1000,filter,0.020,0.020,0.022
direct,128,1000,total,12.202,11.934,13.154
direct,16384,1000,validate,7.630,7.345,8.890
direct,16384,1000,authorize,0.082,0.078,0.113
direct,16384,1000,execute,28.332,21.543,23.738
direct,16384,1000,filter,0.023,0.022,0.028
direct,16384,1000,total,36.066,28.974,32.869
otp,16384,1000,validate,7.651,7.339,8.682
otp,16384,1000,authorize,0.079,0.074,0.105
otp,16384,1000,execute,22.554,21.535,23.671
otp,16384,1000,filter,0.024,0.022,0.033
otp,16384,1000,total,30.308,28.952,32.268
otp,1024,1000,validate,7.445,7.320,7.712
otp,1024,1000,authorize,0.080,0.075,0.092
otp,1024,1000,execute,5.682,5.595,5.766
otp,1024,1000,filter,0.021,0.020,0.024
otp,1024,1000,total,13.228,13.027,14.625
approval,1024,1000,validate,7.314,7.253,7.481
approval,1024,1000,authorize,0.078,0.076,0.088
approval,1024,1000,execute,5.566,5.533,5.667
approval,1024,1000,filter,0.023,0.021,0.030
approval,1024,1000,total,12.981,12.897,13.242
anon,16384,1000,validate,7.871,7.577,9.077
anon,16384,1000,authorize,0.099,0.093,0.132
anon,16384,1000,execute,22.298,21.861,23.406
anon,16384,1000,filter,131.032,130.716,135.616
anon,16384,1000,total,161.300,160.422,168.248
otp,128,1000,validate,7.393,7.354,7.516
otp,128,1000,authorize,0.083,0.083,0.086
otp,128,1000,execute,4.520,4.503,4.574
otp,128,1000,filter,0.020,0.020,0.021
otp,128,1000,total,12.017,11.972,12.189
approval,128,1000,validate,7.306,7.254,7.461
approval,128,1000,authorize,0.074,0.074,0.078
approval,128,1000,execute,4.506,4.484,4.607
approval,128,1000,filter,0.024,0.022,0.030
approval,128,1000,total,11.911,11.828,12.173
