mode,bytes,iterations,stage,mean_us,p50_us,p95_us
direct,128,1000,validate,8.041,7.588,12.070
direct,128,1000,authorize,0.093,0.081,0.145
direct,128,1000,execute,4.966,4.775,6.856
direct,128,1000,filter,0.023,0.021,0.032
direct,128,1000,total,13.123,12.464,18.763
direct,1024,1000,validate,7.576,7.338,7.934
direct,1024,1000,authorize,0.091,0.085,0.111
direct,1024,1000,execute,5.744,5.621,5.971
direct,1024,1000,filter,0.022,0.021,0.026
direct,1024,1000,total,13.434,13.047,14.956
direct,16384,1000,validate,9.471,7.477,8.428
direct,16384,1000,authorize,0.089,0.080,0.117
direct,16384,1000,execute,22.374,21.789,23.658
direct,16384,1000,filter,0.023,0.022,0.027
direct,16384,1000,total,31.957,29.420,32.189
approval,128,1000,validate,7.410,7.352,7.534
approval,128,1000,authorize,0.082,0.079,0.097
approval,128,1000,execute,4.580,4.562,4.675
approval,128,1000,filter,0.023,0.024,0.025
approval,128,1000,total,12.094,12.027,12.286
approval,1024,1000,validate,7.526,7.444,7.643
approval,1024,1000,authorize,0.083,0.079,0.098
approval,1024,1000,execute,5.748,5.701,5.880
approval,1024,1000,filter,0.024,0.024,0.026
approval,1024,1000,total,13.380,13.263,13.603
approval,16384,1000,validate,8.470,7.542,9.472
approval,16384,1000,authorize,0.088,0.083,0.115
approval,16384,1000,execute,22.185,21.941,24.086
approval,16384,1000,filter,0.023,0.022,0.030
approval,16384,1000,total,30.766,29.627,32.834
otp,128,1000,validate,7.461,7.422,7.588
otp,128,1000,authorize,0.083,0.081,0.098
otp,128,1000,execute,4.604,4.589,4.683
otp,128,1000,filter,0.023,0.022,0.025
otp,128,1000,total,12.171,12.131,12.340
otp,1024,1000,validate,7.519,7.437,7.651
otp,1024,1000,authorize,0.079,0.074,0.095
otp,1024,1000,execute,5.703,5.667,5.799
otp,1024,1000,filter,0.025,0.023,0.025
otp,1024,1000,total,13.325,13.216,13.552
otp,16384,1000,validate,9.068,7.533,9.681
otp,16384,1000,authorize,0.105,0.084,0.115
otp,16384,1000,execute,22.277,21.944,24.332
otp,16384,1000,filter,0.023,0.022,0.030
otp,16384,1000,total,31.473,29.616,33.852
anon,128,1000,validate,7.500,7.460,7.661
anon,128,1000,authorize,0.098,0.095,0.115
anon,128,1000,execute,4.601,4.578,4.685
anon,128,1000,filter,1.653,1.640,1.707
anon,128,1000,total,13.853,13.793,14.095
anon,1024,1000,validate,7.767,7.685,7.942
anon,1024,1000,authorize,0.095,0.096,0.106
anon,1024,1000,execute,5.742,5.712,5.826
anon,1024,1000,filter,9.521,9.518,9.713
anon,1024,1000,total,23.125,23.013,23.542
anon,16384,1000,validate,9.280,7.788,9.438
anon,16384,1000,authorize,0.099,0.093,0.130
anon,16384,1000,execute,22.306,22.061,23.493
anon,16384,1000,filter,132.311,131.277,137.280
anon,16384,1000,total,163.996,161.436,169.070
