protocol,session,mode,payload,bytes,n,warmup_n,order_index,mean_us,p50_us,p95_us,p99_us,ci95_lo_us,ci95_hi_us
E2_armA_fixed_none,s2,direct,128B,128,1000,0,0,12.376,12.025,13.452,19.568,12.007,12.055
E2_armA_fixed_none,s2,direct,1KiB,1024,1000,0,1,12.689,12.523,12.938,15.862,12.517,12.533
E2_armA_fixed_none,s2,direct,16KiB,16384,1000,0,2,31.774,28.391,39.104,65.146,28.366,28.427
E2_armA_fixed_none,s2,approval,128B,128,1000,0,3,11.684,11.450,12.042,18.212,11.439,11.459
E2_armA_fixed_none,s2,approval,1KiB,1024,1000,0,4,12.708,12.543,12.982,15.318,12.537,12.550
E2_armA_fixed_none,s2,approval,16KiB,16384,1000,0,5,29.877,28.315,33.445,54.030,28.295,28.336
E2_armA_fixed_none,s2,otp,128B,128,1000,0,6,11.596,11.440,11.985,14.588,11.435,11.447
E2_armA_fixed_none,s2,otp,1KiB,1024,1000,0,7,12.660,12.512,12.964,15.847,12.503,12.521
E2_armA_fixed_none,s2,otp,16KiB,16384,1000,0,8,30.149,28.355,31.321,57.725,28.328,28.376
E2_armA_fixed_none,s2,anon,128B,128,1000,0,9,13.665,13.176,14.830,23.716,13.161,13.195
E2_armA_fixed_none,s2,anon,1KiB,1024,1000,0,10,22.763,22.105,25.072,38.352,22.069,22.123
E2_armA_fixed_none,s2,anon,16KiB,16384,1000,0,11,158.288,154.698,167.984,224.873,154.475,154.983
