protocol,session,mode,payload,bytes,n,warmup_n,order_index,mean_us,p50_us,p95_us,p99_us,ci95_lo_us,ci95_hi_us
E2_armB_fixed_discarded,s3,direct,128B,128,1000,200,0,12.725,12.049,18.591,20.684,12.033,12.071
E2_armB_fixed_discarded,s3,direct,1KiB,1024,1000,200,1,13.360,12.791,15.453,22.379,12.751,12.832
E2_armB_fixed_discarded,s3,direct,16KiB,16384,1000,200,2,36.195,28.423,31.027,43.091,28.409,28.436
E2_armB_fixed_discarded,s3,approval,128B,128,1000,200,3,11.616,11.510,11.952,13.617,11.504,11.517
E2_armB_fixed_discarded,s3,approval,1KiB,1024,1000,200,4,12.679,12.583,12.993,14.669,12.576,12.592
E2_armB_fixed_discarded,s3,approval,16KiB,16384,1000,200,5,36.018,28.579,33.646,61.769,28.510,28.696
E2_armB_fixed_discarded,s3,otp,128B,128,1000,200,6,11.550,11.467,11.823,13.203,11.460,11.474
E2_armB_fixed_discarded,s3,otp,1KiB,1024,1000,200,7,12.713,12.610,12.966,14.719,12.602,12.618
E2_armB_fixed_discarded,s3,otp,16KiB,16384,1000,200,8,29.616,28.359,30.819,53.293,28.345,28.377
E2_armB_fixed_discarded,s3,anon,128B,128,1000,200,9,13.398,13.307,13.889,15.608,13.285,13.322
E2_armB_fixed_discarded,s3,anon,1KiB,1024,1000,200,10,21.846,21.657,23.175,24.441,21.635,21.674
E2_armB_fixed_discarded,s3,anon,16KiB,16384,1000,200,11,161.099,155.024,214.673,251.455,154.656,155.337
