mode,bytes,iterations,stage,mean_us,p50_us,p95_us
direct,128,1000,validate,7.805,7.488,10.595
direct,128,1000,authorize,0.082,0.076,0.109
direct,128,1000,execute,4.820,4.676,6.073
direct,128,1000,filter,0.021,0.021,0.024
direct,128,1000,total,12.728,12.302,16.617
direct,1024,1000,validate,7.481,7.257,7.679
direct,1024,1000,authorize,0.088,0.091,0.100
direct,1024,1000,execute,5.626,5.527,5.807
direct,1024,1000,filter,0.021,0.020,0.022
direct,1024,1000,total,13.215,12.890,13.877
direct,16384,1000,validate,7.866,7.381,8.412
direct,16384,1000,authorize,0.076,0.071,0.093
direct,16384,1000,execute,28.617,21.572,23.572
direct,16384,1000,filter,0.023,0.022,0.026
direct,16384,1000,total,36.582,29.055,32.037
approval,128,1000,validate,7.343,7.239,7.435
approval,128,1000,authorize,0.069,0.067,0.080
approval,128,1000,execute,4.512,4.445,4.553
approval,128,1000,filter,0.020,0.020,0.022
approval,128,1000,total,11.943,11.773,12.226
approval,1024,1000,validate,7.351,7.264,7.427
approval,1024,1000,authorize,0.069,0.068,0.083
approval,1024,1000,execute,5.604,5.540,5.713
approval,1024,1000,filter,0.020,0.020,0.022
approval,1024,1000,total,13.044,12.893,13.259
approval,16384,1000,validate,7.731,7.361,9.445
approval,16384,1000,authorize,0.080,0.070,0.108
approval,16384,1000,execute,28.147,21.638,24.130
approval,16384,1000,filter,0.042,0.022,0.031
approval,16384,1000,total,36.000,29.086,33.501
otp,128,1000,validate,7.318,7.215,7.419
otp,128,1000,authorize,0.069,0.067,0.077
otp,128,1000,execute,4.482,4.425,4.530
otp,128,1000,filter,0.020,0.020,0.021
otp,128,1000,total,11.889,11.728,12.094
otp,1024,1000,validate,7.620,7.312,8.944
otp,1024,1000,authorize,0.073,0.070,0.094
otp,1024,1000,execute,5.752,5.542,6.281
otp,1024,1000,filter,0.021,0.020,0.024
otp,1024,1000,total,13.466,12.935,16.603
otp,16384,1000,validate,7.703,7.329,8.840
otp,16384,1000,authorize,0.077,0.070,0.109
otp,16384,1000,execute,22.571,21.605,23.829
otp,16384,1000,filter,0.024,0.023,0.031
otp,16384,1000,total,30.375,29.024,33.060
anon,128,1000,validate,7.451,7.290,7.469
anon,128,1000,authorize,0.068,0.068,0.074
anon,128,1000,execute,4.439,4.413,4.490
anon,128,1000,filter,1.634,1.629,1.693
anon,128,1000,total,13.593,13.397,13.689
anon,1024,1000,validate,7.594,7.411,7.966
anon,1024,1000,authorize,0.080,0.077,0.091
anon,1024,1000,execute,5.646,5.563,5.827
anon,1024,1000,filter,9.316,9.151,9.676
anon,1024,1000,total,22.635,22.224,24.147
anon,16384,1000,validate,8.191,7.576,11.824
anon,16384,1000,authorize,0.096,0.082,0.173
anon,16384,1000,execute,22.695,21.580,26.716
anon,16384,1000,filter,133.122,129.096,153.599
anon,16384,1000,total,164.105,158.686,212.000
