mode,bytes,iterations,stage,mean_us,p50_us,p95_us
otp,16384,1000,validate,9.739,7.927,13.211
otp,16384,1000,authorize,0.091,0.079,0.163
otp,16384,1000,execute,28.893,22.100,28.922
otp,16384,1000,filter,0.032,0.024,0.046
otp,16384,1000,total,38.755,30.165,44.152
anon,16384,1000,validate,9.639,7.856,10.530
anon,16384,1000,authorize,0.101,0.090,0.152
anon,16384,1000,execute,21.854,21.286,23.685
anon,16384,1000,filter,129.053,126.287,138.173
anon,16384,1000,total,160.647,155.703,173.957
approval,16384,1000,validate,8.614,7.625,9.538
approval,16384,1000,authorize,0.085,0.077,0.112
approval,16384,1000,execute,21.686,21.189,23.448
approval,16384,1000,filter,0.033,0.038,0.042
approval,16384,1000,total,30.417,28.915,33.585
approval,128,1000,validate,7.649,7.452,8.659
approval,128,1000,authorize,0.082,0.077,0.092
approval,128,1000,execute,4.479,4.368,4.696
approval,128,1000,filter,0.020,0.019,0.022
approval,128,1000,total,12.230,11.915,13.555
direct,1024,1000,validate,7.610,7.504,7.715
direct,1024,1000,authorize,0.074,0.072,0.081
direct,1024,1000,execute,5.458,5.414,5.576
direct,1024,1000,filter,0.029,0.022,0.039
direct,1024,1000,total,13.170,13.014,13.526
otp,1024,1000,validate,7.696,7.564,7.891
otp,1024,1000,authorize,0.079,0.076,0.092
otp,1024,1000,execute,5.539,5.476,5.621
otp,1024,1000,filter,0.034,0.037,0.039
otp,1024,1000,total,13.347,13.150,13.854
anon,128,1000,validate,7.997,7.490,11.777
anon,128,1000,authorize,0.090,0.082,0.143
anon,128,1000,execute,4.673,4.397,6.697
anon,128,1000,filter,1.721,1.627,2.486
anon,128,1000,total,14.482,13.580,20.766
approval,1024,1000,validate,7.901,7.528,9.250
approval,1024,1000,authorize,0.082,0.075,0.104
approval,1024,1000,execute,5.672,5.477,6.716
approval,1024,1000,filter,0.027,0.020,0.039
approval,1024,1000,total,13.682,13.103,15.533
direct,16384,1000,validate,8.609,7.524,9.368
direct,16384,1000,authorize,0.084,0.076,0.115
direct,16384,1000,execute,21.569,21.187,23.113
direct,16384,1000,filter,0.033,0.023,0.046
direct,16384,1000,total,30.295,28.827,32.039
anon,1024,1000,validate,7.674,7.529,7.873
anon,1024,1000,authorize,0.087,0.085,0.099
anon,1024,1000,execute,5.545,5.477,5.675
anon,1024,1000,filter,8.966,8.889,9.228
anon,1024,1000,total,22.272,21.964,23.762
otp,128,1000,validate,7.523,7.426,7.649
otp,128,1000,authorize,0.081,0.080,0.086
otp,128,1000,execute,4.419,4.371,4.486
otp,128,1000,filter,0.021,0.019,0.022
otp,128,1000,total,12.043,11.894,12.360
direct,128,1000,validate,7.557,7.454,7.674
direct,128,1000,authorize,0.078,0.077,0.084
direct,128,1000,execute,4.471,4.424,4.527
direct,128,1000,filter,0.021,0.019,0.021
direct,128,1000,total,12.127,11.972,12.344
