mode,bytes,iterations,stage,mean_us,p50_us,p95_us
otp,16384,1000,validate,7.853,7.338,7.967
otp,16384,1000,authorize,0.100,0.093,0.118
otp,16384,1000,execute,22.392,21.311,22.948
otp,16384,1000,filter,0.022,0.021,0.025
otp,16384,1000,total,30.366,28.759,31.161
anon,16384,1000,validate,7.778,7.424,9.213
anon,16384,1000,authorize,0.104,0.096,0.146
anon,16384,1000,execute,22.035,21.250,23.167
anon,16384,1000,filter,127.036,125.500,132.130
anon,16384,1000,total,156.953,154.390,164.580
approval,128,1000,validate,7.384,7.325,7.709
approval,128,1000,authorize,0.088,0.087,0.095
approval,128,1000,execute,4.599,4.540,4.760
approval,128,1000,filter,0.020,0.020,0.021
approval,128,1000,total,12.090,11.985,12.893
approval,16384,1000,validate,7.544,7.288,8.544
approval,16384,1000,authorize,0.093,0.087,0.118
approval,16384,1000,execute,27.483,21.229,22.948
approval,16384,1000,filter,0.022,0.021,0.026
approval,16384,1000,total,35.141,28.635,31.618
otp,128,1000,validate,7.263,7.206,7.388
otp,128,1000,authorize,0.086,0.085,0.094
otp,128,1000,execute,4.476,4.438,4.551
otp,128,1000,filter,0.020,0.019,0.021
otp,128,1000,total,11.845,11.750,12.142
anon,128,1000,validate,7.436,7.325,7.843
anon,128,1000,authorize,0.088,0.087,0.093
anon,128,1000,execute,4.535,4.481,4.699
anon,128,1000,filter,1.671,1.654,1.779
anon,128,1000,total,13.730,13.539,14.941
otp,1024,1000,validate,7.276,7.194,7.427
otp,1024,1000,authorize,0.088,0.087,0.098
otp,1024,1000,execute,5.541,5.471,5.621
otp,1024,1000,filter,0.020,0.019,0.022
otp,1024,1000,total,12.926,12.768,13.512
direct,16384,1000,validate,7.426,7.254,8.127
direct,16384,1000,authorize,0.092,0.089,0.116
direct,16384,1000,execute,27.638,21.220,22.972
direct,16384,1000,filter,0.022,0.021,0.023
direct,16384,1000,total,35.178,28.589,31.114
anon,1024,1000,validate,7.653,7.373,8.286
anon,1024,1000,authorize,0.092,0.086,0.112
anon,1024,1000,execute,5.720,5.571,5.968
anon,1024,1000,filter,9.364,9.028,10.459
anon,1024,1000,total,22.828,22.099,25.017
direct,128,1000,validate,7.274,7.156,7.607
direct,128,1000,authorize,0.087,0.085,0.093
direct,128,1000,execute,4.519,4.445,4.701
direct,128,1000,filter,0.019,0.019,0.021
direct,128,1000,total,11.899,11.702,13.040
direct,1024,1000,validate,7.258,7.162,7.456
direct,1024,1000,authorize,0.091,0.090,0.099
direct,1024,1000,execute,5.545,5.456,5.643
direct,1024,1000,filter,0.020,0.019,0.021
direct,1024,1000,total,12.915,12.725,14.055
approval,1024,1000,validate,7.285,7.206,7.423
approval,1024,1000,authorize,0.086,0.084,0.095
approval,1024,1000,execute,5.541,5.488,5.628
approval,1024,1000,filter,0.019,0.019,0.022
approval,1024,1000,total,12.932,12.800,13.327
