protocol,session,mode,payload,bytes,n,warmup_n,order_index,mean_us,p50_us,p95_us,p99_us,ci95_lo_us,ci95_hi_us
E2_armD_randomized_discarded,s5,otp,16KiB,16384,1000,200,0,31.413,29.760,32.934,42.575,29.722,29.792
E2_armD_randomized_discarded,s5,approval,16KiB,16384,1000,200,1,36.754,29.787,32.703,49.063,29.769,29.808
E2_armD_randomized_discarded,s5,otp,128B,128,1000,200,2,12.265,12.158,12.548,14.165,12.144,12.167
E2_armD_randomized_discarded,s5,anon,16KiB,16384,1000,200,3,164.901,163.662,172.485,191.699,163.423,163.912
E2_armD_randomized_discarded,s5,direct,1KiB,1024,1000,200,4,13.900,13.442,17.661,23.462,13.428,13.466
E2_armD_randomized_discarded,s5,approval,128B,128,1000,200,5,12.465,12.204,12.899,20.123,12.189,12.227
E2_armD_randomized_discarded,s5,anon,1KiB,1024,1000,200,6,23.328,22.976,25.060,34.158,22.918,23.001
E2_armD_randomized_discarded,s5,otp,1KiB,1024,1000,200,7,13.649,13.368,14.825,20.138,13.319,13.408
E2_armD_randomized_discarded,s5,approval,1KiB,1024,1000,200,8,13.449,13.204,13.735,19.892,13.196,13.215
E2_armD_randomized_discarded,s5,direct,16KiB,16384,1000,200,9,36.871,29.812,33.227,56.486,29.794,29.834
E2_armD_randomized_discarded,s5,anon,128B,128,1000,200,10,14.202,13.972,15.035,19.588,13.964,13.980
E2_armD_randomized_discarded,s5,direct,128B,128,1000,200,11,12.392,12.134,13.168,17.478,12.122,12.154
