session,label,scope_set_size,payload,bytes,order_index,stage,n,mean_us,p50_us,p95_us,p99_us
s4,scope_0_unscoped,0,128B,128,0,validate_plus_scope_check,1000,8.884,8.785,9.519,12.055
s4,scope_0_unscoped,0,128B,128,0,authorize_hitl,1000,0.151,0.149,0.172,0.219
s4,scope_0_unscoped,0,128B,128,0,execute_vault,1000,5.081,5.046,5.306,6.638
s4,scope_0_unscoped,0,128B,128,0,filter_pii,1000,0.378,0.371,0.422,0.477
s4,scope_0_unscoped,0,128B,128,0,total,1000,14.494,14.360,15.383,18.434
s4,scope_0_unscoped,0,1KiB,1024,0,validate_plus_scope_check,1000,8.431,8.354,8.782,10.439
s4,scope_0_unscoped,0,1KiB,1024,0,authorize_hitl,1000,0.144,0.143,0.161,0.173
s4,scope_0_unscoped,0,1KiB,1024,0,execute_vault,1000,5.872,5.807,6.019,7.408
s4,scope_0_unscoped,0,1KiB,1024,0,filter_pii,1000,0.951,0.945,0.981,1.023
s4,scope_0_unscoped,0,1KiB,1024,0,total,1000,15.398,15.249,16.268,18.634
s4,scope_0_unscoped,0,16KiB,16384,0,validate_plus_scope_check,1000,8.626,8.193,10.092,16.704
s4,scope_0_unscoped,0,16KiB,16384,0,authorize_hitl,1000,0.154,0.146,0.199,0.324
s4,scope_0_unscoped,0,16KiB,16384,0,execute_vault,1000,22.318,21.839,24.512,30.496
s4,scope_0_unscoped,0,16KiB,16384,0,filter_pii,1000,10.236,10.030,11.134,13.864
s4,scope_0_unscoped,0,16KiB,16384,0,total,1000,41.335,40.198,46.366,56.374
s4,scope_1_small,1,128B,128,1,validate_plus_scope_check,1000,8.104,8.004,8.499,10.210
s4,scope_1_small,1,128B,128,1,authorize_hitl,1000,0.140,0.135,0.170,0.191
s4,scope_1_small,1,128B,128,1,execute_vault,1000,4.746,4.683,4.862,6.220
s4,scope_1_small,1,128B,128,1,filter_pii,1000,0.324,0.320,0.354,0.387
s4,scope_1_small,1,128B,128,1,total,1000,13.315,13.134,14.226,16.820
s4,scope_1_small,1,1KiB,1024,1,validate_plus_scope_check,1000,8.263,8.166,8.680,10.572
s4,scope_1_small,1,1KiB,1024,1,authorize_hitl,1000,0.140,0.137,0.160,0.201
s4,scope_1_small,1,1KiB,1024,1,execute_vault,1000,6.000,5.926,6.129,8.522
s4,scope_1_small,1,1KiB,1024,1,filter_pii,1000,0.912,0.902,0.946,1.126
s4,scope_1_small,1,1KiB,1024,1,total,1000,15.315,15.136,16.674,18.871
s4,scope_1_small,1,16KiB,16384,1,validate_plus_scope_check,1000,8.400,8.193,9.369,12.560
s4,scope_1_small,1,16KiB,16384,1,authorize_hitl,1000,0.144,0.139,0.166,0.234
s4,scope_1_small,1,16KiB,16384,1,execute_vault,1000,21.808,21.662,23.476,25.909
s4,scope_1_small,1,16KiB,16384,1,filter_pii,1000,9.965,9.929,10.271,11.579
s4,scope_1_small,1,16KiB,16384,1,total,1000,40.317,40.037,43.015,49.106
s4,scope_20_large,20,128B,128,2,validate_plus_scope_check,1000,10.584,10.377,11.093,14.225
s4,scope_20_large,20,128B,128,2,authorize_hitl,1000,0.158,0.156,0.176,0.218
s4,scope_20_large,20,128B,128,2,execute_vault,1000,4.816,4.770,4.882,6.745
s4,scope_20_large,20,128B,128,2,filter_pii,1000,0.337,0.338,0.360,0.390
s4,scope_20_large,20,128B,128,2,total,1000,15.896,15.638,16.598,20.421
s4,scope_20_large,20,1KiB,1024,2,validate_plus_scope_check,1000,10.972,10.201,16.529,18.417
s4,scope_20_large,20,1KiB,1024,2,authorize_hitl,1000,0.191,0.179,0.263,0.321
s4,scope_20_large,20,1KiB,1024,2,execute_vault,1000,6.317,5.927,8.921,9.896
s4,scope_20_large,20,1KiB,1024,2,filter_pii,1000,0.982,0.930,1.391,1.665
s4,scope_20_large,20,1KiB,1024,2,total,1000,18.462,17.225,27.057,30.478
s4,scope_20_large,20,16KiB,16384,2,validate_plus_scope_check,1000,10.865,10.563,12.149,16.477
s4,scope_20_large,20,16KiB,16384,2,authorize_hitl,1000,0.177,0.166,0.197,0.280
s4,scope_20_large,20,16KiB,16384,2,execute_vault,1000,22.399,21.910,24.143,30.143
s4,scope_20_large,20,16KiB,16384,2,filter_pii,1000,10.195,10.014,10.584,12.736
s4,scope_20_large,20,16KiB,16384,2,total,1000,43.636,42.614,46.543,60.595
