bytes,density,n,mean_us,p50_us
128,0,50,0.4607,0.4500
128,0.25,50,0.5026,0.4490
128,0.5,50,0.8093,0.7560
128,0.75,50,1.0857,1.0360
128,1,50,1.0551,1.0300
1024,0,50,2.9117,2.9070
1024,0.25,50,3.9734,3.9330
1024,0.5,50,5.8752,5.8090
1024,0.75,50,7.4607,7.3270
1024,1,50,8.1376,8.0810
4096,0,50,11.4351,11.3660
4096,0.25,50,15.8214,15.7380
4096,0.5,50,22.6415,22.4570
4096,0.75,50,26.3370,26.2220
4096,1,50,30.0238,29.9590
16384,0,50,46.8778,45.1150
16384,0.25,50,65.0976,64.8350
16384,0.5,50,82.5043,82.6220
16384,0.75,50,107.3161,104.8990
16384,1,50,116.8262,114.4460
65536,0,50,174.4190,172.6120
65536,0.25,50,252.0656,249.3330
65536,0.5,50,335.8760,335.1030
65536,0.75,50,406.4166,405.2810
65536,1,50,484.6569,479.8890
